Day,Number of Bicycle Hires
5/23/2014,30556
5/24/2014,18723
5/25/2014,33401
5/26/2014,12049
5/27/2014,14446
5/28/2014,21978
5/29/2014,29229
5/30/2014,31331
5/31/2014,35040
6/1/2014,36655
6/2/2014,33481
6/3/2014,29332
6/4/2014,25905
6/5/2014,34617
6/6/2014,37440
6/7/2014,29919
6/8/2014,44415
6/9/2014,34305
6/10/2014,40128
6/11/2014,39582
6/12/2014,39928
6/13/2014,40036
6/14/2014,32758
6/15/2014,28944
6/16/2014,31592
6/17/2014,37658
6/18/2014,35431
6/19/2014,36113
6/20/2014,36924
6/21/2014,42463
6/22/2014,41596
6/23/2014,35206
6/24/2014,38066
6/25/2014,39623
6/26/2014,35438
6/27/2014,35912
6/28/2014,20199
6/29/2014,26714
6/30/2014,32193
7/1/2014,39495
7/2/2014,40878
7/3/2014,43116
7/4/2014,38316
7/5/2014,27332
7/6/2014,31117
7/7/2014,36191
7/8/2014,35107
7/9/2014,38844
7/10/2014,32108
7/11/2014,27618
7/12/2014,38331
7/13/2014,33227
7/14/2014,38450
7/15/2014,40888
7/16/2014,42341
7/17/2014,42404
7/18/2014,40543
7/19/2014,37061
7/20/2014,34379
7/21/2014,38499
7/22/2014,42928
7/23/2014,42486
7/24/2014,42412
7/25/2014,31881
7/26/2014,43788
7/27/2014,39917
7/28/2014,36203
7/29/2014,42308
7/30/2014,43044
7/31/2014,41970
8/1/2014,40009
8/2/2014,38046
8/3/2014,41944
8/4/2014,39856
8/5/2014,40716
8/6/2014,38665
8/7/2014,42491
8/8/2014,34234
8/9/2014,47454
8/10/2014,23980
8/11/2014,31725
8/12/2014,34827
8/13/2014,37856
8/14/2014,27185
8/15/2014,32510
8/16/2014,47245
8/17/2014,39952
8/18/2014,30784
8/19/2014,35332
8/20/2014,36817
8/21/2014,33236
8/22/2014,34047
8/23/2014,29999
8/24/2014,30962
8/25/2014,6175
8/26/2014,18448
8/27/2014,32286
8/28/2014,31842
8/29/2014,32439
8/30/2014,30832
8/31/2014,33312
9/1/2014,27455
9/2/2014,36836
9/3/2014,36523
9/4/2014,35448
9/5/2014,35013
9/6/2014,33434
9/7/2014,34248
9/8/2014,36983
9/9/2014,37674
9/10/2014,37091
9/11/2014,35303
9/12/2014,37144
9/13/2014,34174
9/14/2014,31770
9/15/2014,36629
9/16/2014,37535
9/17/2014,38583
9/18/2014,38442
9/19/2014,36841
9/20/2014,31031
9/21/2014,33334
9/22/2014,35178
9/23/2014,36460
9/24/2014,32680
9/25/2014,35367
9/26/2014,35474
9/27/2014,35087
9/28/2014,37873
9/29/2014,31701
9/30/2014,37373
10/1/2014,32733
10/2/2014,36992
10/3/2014,37909
10/4/2014,18967
10/5/2014,33082
10/6/2014,24330
10/7/2014,31465
10/8/2014,23573
10/9/2014,26642
10/10/2014,32510
10/11/2014,30498
10/12/2014,23063
10/13/2014,13299
10/14/2014,28518
10/15/2014,25424
10/16/2014,31541
10/17/2014,32770
10/18/2014,28951
10/19/2014,30480
10/20/2014,31642
10/21/2014,24681
10/22/2014,30642
10/23/2014,31277
10/24/2014,29144
10/25/2014,30053
10/26/2014,26514
10/27/2014,33716
10/28/2014,35320
10/29/2014,23281
10/30/2014,32503
10/31/2014,36478
11/1/2014,31912
11/2/2014,15887
11/3/2014,22347
11/4/2014,23525
11/5/2014,27970
11/6/2014,28274
11/7/2014,26779
11/8/2014,17473
11/9/2014,24099
11/10/2014,28303
11/11/2014,28993
11/12/2014,24878
11/13/2014,27839
11/14/2014,21442
11/15/2014,22842
11/16/2014,17849
11/17/2014,21398
11/18/2014,26094
11/19/2014,28807
11/20/2014,29068
11/21/2014,24070
11/22/2014,18347
11/23/2014,6030
11/24/2014,25884
11/25/2014,24359
11/26/2014,23096
11/27/2014,26765
11/28/2014,26782
11/29/2014,24337
11/30/2014,19998
12/1/2014,24983
12/2/2014,21614
12/3/2014,25376
12/4/2014,19993
12/5/2014,22939
12/6/2014,17431
12/7/2014,12789
12/8/2014,23519
12/9/2014,23925
12/10/2014,25028
12/11/2014,23028
12/12/2014,20436
12/13/2014,18255
12/14/2014,14441
12/15/2014,22940
12/16/2014,23087
12/17/2014,22120
12/18/2014,23196
12/19/2014,21966
12/20/2014,14690
12/21/2014,11802
12/22/2014,18552
12/23/2014,16551
12/24/2014,10385
12/25/2014,39145
12/26/2014,7678
12/27/2014,6349
12/28/2014,9293
12/29/2014,12411
12/30/2014,13120
12/31/2014,12811
1/1/2015,9615
1/2/2015,15389
1/3/2015,5779
1/4/2015,9367
1/5/2015,20566
1/6/2015,20765
1/7/2015,22504
1/8/2015,15769
1/9/2015,22285
1/10/2015,14877
1/11/2015,14738
1/12/2015,17354
1/13/2015,24966
1/14/2015,23767
1/15/2015,23123
1/16/2015,22894
1/17/2015,15443
1/18/2015,13373
1/19/2015,23193
1/20/2015,23384
1/21/2015,22987
1/22/2015,23432
1/23/2015,22093
1/24/2015,17748
1/25/2015,15267
1/26/2015,22867
1/27/2015,25222
1/28/2015,21685
1/29/2015,21421
1/30/2015,21405
1/31/2015,10385
2/1/2015,11420
2/2/2015,21770
2/3/2015,20028
2/4/2015,22056
2/5/2015,21396
2/6/2015,21146
2/7/2015,13324
2/8/2015,15983
2/9/2015,24078
2/10/2015,24399
2/11/2015,23870
2/12/2015,23429
2/13/2015,17836
2/14/2015,14644
2/15/2015,17253
2/16/2015,16548
2/17/2015,25288
2/18/2015,25340
2/19/2015,17081
2/20/2015,21014
2/21/2015,16490
2/22/2015,9214
2/23/2015,21857
2/24/2015,23758
2/25/2015,21708
2/26/2015,20131
2/27/2015,24540
2/28/2015,13677
3/1/2015,15817
3/2/2015,22379
3/3/2015,24001
3/4/2015,24544
3/5/2015,24959
3/6/2015,25527
3/7/2015,27754
3/8/2015,20207
3/9/2015,24230
3/10/2015,27878
3/11/2015,27610
3/12/2015,28324
3/13/2015,25840
3/14/2015,18270
3/15/2015,10744
3/16/2015,19950
3/17/2015,25956
3/18/2015,26618
3/19/2015,24241
3/20/2015,25424
3/21/2015,16304
3/22/2015,18782
3/23/2015,25741
3/24/2015,24161
3/25/2015,25779
3/26/2015,20415
3/27/2015,26567
3/28/2015,19242
3/29/2015,8987
3/30/2015,22235
3/31/2015,22898
4/1/2015,23677
4/2/2015,22818
4/3/2015,11503
4/4/2015,13828
4/5/2015,19685
4/6/2015,25724
4/7/2015,29525
4/8/2015,30882
4/9/2015,31671
4/10/2015,32299
4/11/2015,25415
4/12/2015,29457
4/13/2015,28203
4/14/2015,34830
4/15/2015,37709
4/16/2015,30656
4/17/2015,30001
4/18/2015,29846
4/19/2015,19906
4/20/2015,32163
4/21/2015,35103
4/22/2015,32559
4/23/2015,32935
4/24/2015,32332
4/25/2015,25441
4/26/2015,19565
4/27/2015,30735
4/28/2015,32024
4/29/2015,26197
4/30/2015,31854
5/1/2015,29822
5/2/2015,22474
5/3/2015,21375
5/4/2015,26933
5/5/2015,26633
5/6/2015,24556
5/7/2015,31283
5/8/2015,27029
5/9/2015,27995
5/10/2015,32399
5/11/2015,33872
5/12/2015,33930
5/13/2015,36877
5/14/2015,15657
5/15/2015,32522
5/16/2015,32720
5/17/2015,31506
5/18/2015,24385
5/19/2015,28408
5/20/2015,30650
5/21/2015,34922
5/22/2015,33624
5/23/2015,23989
5/24/2015,30267
5/25/2015,29607
5/26/2015,34880
5/27/2015,36496
5/28/2015,34496
5/29/2015,26155
5/30/2015,29432
5/31/2015,15075
6/1/2015,27893
6/2/2015,28070
6/3/2015,35630
6/4/2015,39687
6/5/2015,35048
6/6/2015,33088
6/7/2015,35757
6/8/2015,32745
6/9/2015,33447
6/10/2015,35862
6/11/2015,38969
6/12/2015,35367
6/13/2015,30566
6/14/2015,25402
6/15/2015,34723
6/16/2015,38166
6/17/2015,38799
6/18/2015,38875
6/19/2015,36220
6/20/2015,26546
6/21/2015,30621
6/22/2015,29711
6/23/2015,37663
6/24/2015,39183
6/25/2015,38856
6/26/2015,37281
6/27/2015,36885
6/28/2015,25846
6/29/2015,39280
6/30/2015,43582
7/1/2015,42891
7/2/2015,38467
7/3/2015,39940
7/4/2015,38640
7/5/2015,29963
7/6/2015,38895
7/7/2015,38120
7/8/2015,41921
7/9/2015,73094
7/10/2015,43266
7/11/2015,42676
7/12/2015,23498
7/13/2015,27646
7/14/2015,35600
7/15/2015,34878
7/16/2015,39609
7/17/2015,38845
7/18/2015,38906
7/19/2015,36989
7/20/2015,32140
7/21/2015,41001
7/22/2015,38133
7/23/2015,39368
7/24/2015,16135
7/25/2015,32982
7/26/2015,12497
7/27/2015,32103
7/28/2015,36310
7/29/2015,37021
7/30/2015,36350
7/31/2015,36932
8/1/2015,43492
8/2/2015,43679
8/3/2015,35609
8/4/2015,37864
8/5/2015,39010
8/6/2015,63963
8/7/2015,39788
8/8/2015,39362
8/9/2015,40758
8/10/2015,35625
8/11/2015,34567
8/12/2015,36838
8/13/2015,26185
8/14/2015,25638
8/15/2015,34137
8/16/2015,30948
8/17/2015,36003
8/18/2015,34776
8/19/2015,31903
8/20/2015,32857
8/21/2015,36329
8/22/2015,44724
8/23/2015,27202
8/24/2015,17520
8/25/2015,28401
8/26/2015,23969
8/27/2015,30856
8/28/2015,33201
8/29/2015,22828
8/30/2015,25191
8/31/2015,9709
9/1/2015,25739
9/2/2015,30313
9/3/2015,31163
9/4/2015,29913
9/5/2015,22475
9/6/2015,29539
9/7/2015,31917
9/8/2015,32968
9/9/2015,33332
9/10/2015,35956
9/11/2015,34690
9/12/2015,29143
9/13/2015,26342
9/14/2015,25923
9/15/2015,28311
9/16/2015,18764
9/17/2015,32336
9/18/2015,30124
9/19/2015,33855
9/20/2015,31380
9/21/2015,23831
9/22/2015,20567
9/23/2015,34193
9/24/2015,29537
9/25/2015,35064
9/26/2015,32955
9/27/2015,30024
9/28/2015,33341
9/29/2015,34591
9/30/2015,35143
10/1/2015,34845
10/2/2015,35782
10/3/2015,29224
10/4/2015,30096
10/5/2015,20833
10/6/2015,25972
10/7/2015,28817
10/8/2015,33877
10/9/2015,34392
10/10/2015,29683
10/11/2015,27984
10/12/2015,31469
10/13/2015,31753
10/14/2015,30815
10/15/2015,31062
10/16/2015,30295
10/17/2015,24555
10/18/2015,23282
10/19/2015,30127
10/20/2015,32949
10/21/2015,19085
10/22/2015,30539
10/23/2015,30515
10/24/2015,17058
10/25/2015,23591
10/26/2015,30606
10/27/2015,32635
10/28/2015,24040
10/29/2015,27534
10/30/2015,24195
10/31/2015,27765
11/1/2015,23085
11/2/2015,28256
11/3/2015,30911
11/4/2015,23675
11/5/2015,24685
11/6/2015,25677
11/7/2015,15031
11/8/2015,18943
11/9/2015,28623
11/10/2015,29429
11/11/2015,30049
11/12/2015,29108
11/13/2015,25410
11/14/2015,8983
11/15/2015,17711
11/16/2015,26676
11/17/2015,23773
11/18/2015,26636
11/19/2015,23852
11/20/2015,25993
11/21/2015,12847
11/22/2015,13205
11/23/2015,24070
11/24/2015,21348
11/25/2015,26187
11/26/2015,26826
11/27/2015,23667
11/28/2015,16523
11/29/2015,11453
11/30/2015,21886
12/1/2015,26714
12/2/2015,27975
12/3/2015,26038
12/4/2015,26130
12/5/2015,16667
12/6/2015,15627
12/7/2015,25897
12/8/2015,23565
12/9/2015,27739
12/10/2015,23251
12/11/2015,23439
12/12/2015,16815
12/13/2015,12364
12/14/2015,23972
12/15/2015,20310
12/16/2015,25740
12/17/2015,25977
12/18/2015,25886
12/19/2015,18883
12/20/2015,13118
12/21/2015,18239
12/22/2015,17571
12/23/2015,18568
12/24/2015,8968
12/25/2015,22871
12/26/2015,10362
12/27/2015,9507
12/28/2015,13851
12/29/2015,15717
12/30/2015,12379
12/31/2015,14024
1/1/2016,9922
1/2/2016,7246
1/3/2016,4894
1/4/2016,20644
1/5/2016,22934
1/6/2016,23199
1/7/2016,18225
1/8/2016,20948
1/9/2016,11674
1/10/2016,14447
1/11/2016,21188
1/12/2016,22924
1/13/2016,24726
1/14/2016,22266
1/15/2016,22594
1/16/2016,16258
1/17/2016,11826
1/18/2016,22905
1/19/2016,23919
1/20/2016,23919
1/21/2016,23490
1/22/2016,18431
1/23/2016,17424
1/24/2016,16474
1/25/2016,25886
1/26/2016,20329
1/27/2016,21816
1/28/2016,25490
1/29/2016,22701
1/30/2016,16528
1/31/2016,11098
2/1/2016,23742
2/2/2016,24643
2/3/2016,24601
2/4/2016,25344
2/5/2016,22806
2/6/2016,13255
2/7/2016,14219
2/8/2016,19924
2/9/2016,23460
2/10/2016,23769
2/11/2016,25393
2/12/2016,22995
2/13/2016,9948
2/14/2016,13782
2/15/2016,21918
2/16/2016,24537
2/17/2016,19168
2/18/2016,23696
2/19/2016,22300
2/20/2016,11224
2/21/2016,14745
2/22/2016,20538
2/23/2016,25832
2/24/2016,25634
2/25/2016,24296
2/26/2016,23714
2/27/2016,14871
2/28/2016,13549
2/29/2016,23738
3/1/2016,20876
3/2/2016,20775
3/3/2016,24559
3/4/2016,24179
3/5/2016,12340
3/6/2016,12591
3/7/2016,22785
3/8/2016,23308
3/9/2016,19280
3/10/2016,23648
3/11/2016,21026
3/12/2016,21834
3/13/2016,21938
3/14/2016,25597
3/15/2016,25379
3/16/2016,25489
3/17/2016,27198
3/18/2016,23210
3/19/2016,18060
3/20/2016,17163
3/21/2016,25990
3/22/2016,29312
3/23/2016,27052
3/24/2016,19477
3/25/2016,25612
3/26/2016,11211
3/27/2016,10149
3/28/2016,10316
3/29/2016,18945
3/30/2016,26700
3/31/2016,28486
4/1/2016,27310
4/2/2016,24416
4/3/2016,21068
4/4/2016,25182
4/5/2016,30155
4/6/2016,24132
4/7/2016,22338
4/8/2016,27357
4/9/2016,19858
4/10/2016,23389
4/11/2016,24162
4/12/2016,30801
4/13/2016,30285
4/14/2016,30566
4/15/2016,15919
4/16/2016,17801
4/17/2016,18274
4/18/2016,28512
4/19/2016,33719
4/20/2016,34577
4/21/2016,31937
4/22/2016,20532
4/23/2016,22060
4/24/2016,18873
4/25/2016,24389
4/26/2016,27862
4/27/2016,28431
4/28/2016,28901
4/29/2016,25658
4/30/2016,24844
5/1/2016,29664
5/2/2016,19598
5/3/2016,32037
5/4/2016,36514
5/5/2016,39104
5/6/2016,40117
5/7/2016,44532
5/8/2016,45301
5/9/2016,30821
5/10/2016,21673
5/11/2016,27922
5/12/2016,38525
5/13/2016,35109
5/14/2016,30442
5/15/2016,34725
5/16/2016,37441
5/17/2016,36810
5/18/2016,24335
5/19/2016,34655
5/20/2016,36101
5/21/2016,26785
5/22/2016,31115
5/23/2016,35451
5/24/2016,36580
5/25/2016,31919
5/26/2016,37442
5/27/2016,36133
5/28/2016,31301
5/29/2016,31246
5/30/2016,24041
5/31/2016,16227
6/1/2016,27156
6/2/2016,29162
6/3/2016,29580
6/4/2016,30140
6/5/2016,40836
6/6/2016,39528
6/7/2016,35137
6/8/2016,34588
6/9/2016,41546
6/10/2016,40139
6/11/2016,29018
6/12/2016,18109
6/13/2016,27571
6/14/2016,30218
6/15/2016,37704
6/16/2016,31406
6/17/2016,32018
6/18/2016,29692
6/19/2016,31372
6/20/2016,22309
6/21/2016,39003
6/22/2016,36628
6/23/2016,25129
6/24/2016,36530
6/25/2016,26357
6/26/2016,29597
6/27/2016,33695
6/28/2016,31701
6/29/2016,31496
6/30/2016,35867
7/1/2016,28108
7/2/2016,30802
7/3/2016,34195
7/4/2016,37628
7/5/2016,40955
7/6/2016,42871
7/7/2016,39670
7/8/2016,37311
7/9/2016,34525
7/10/2016,29556
7/11/2016,32781
7/12/2016,30186
7/13/2016,36128
7/14/2016,40364
7/15/2016,37045
7/16/2016,38916
7/17/2016,38340
7/18/2016,43497
7/19/2016,46625
7/20/2016,45156
7/21/2016,41731
7/22/2016,36401
7/23/2016,42121
7/24/2016,39070
7/25/2016,40999
7/26/2016,42528
7/27/2016,33646
7/28/2016,39009
7/29/2016,35737
7/30/2016,46251
7/31/2016,46276
8/1/2016,30074
8/2/2016,28949
8/3/2016,40683
8/4/2016,39488
8/5/2016,40570
8/6/2016,42579
8/7/2016,38620
8/8/2016,38117
8/9/2016,40052
8/10/2016,38917
8/11/2016,38034
8/12/2016,40645
8/13/2016,43792
8/14/2016,44648
8/15/2016,41764
8/16/2016,40899
8/17/2016,42879
8/18/2016,39379
8/19/2016,25862
8/20/2016,24712
8/21/2016,28625
8/22/2016,36064
8/23/2016,42558
8/24/2016,41088
8/25/2016,38191
8/26/2016,38222
8/27/2016,32656
8/28/2016,26325
8/29/2016,34665
8/30/2016,39992
8/31/2016,39344
9/1/2016,40302
9/2/2016,34661
9/3/2016,23805
9/4/2016,27901
9/5/2016,28210
9/6/2016,37982
9/7/2016,40232
9/8/2016,41004
9/9/2016,36554
9/10/2016,17308
9/11/2016,39906
9/12/2016,39687
9/13/2016,44035
9/14/2016,44909
9/15/2016,42598
9/16/2016,22204
9/17/2016,27548
9/18/2016,29830
9/19/2016,33401
9/20/2016,37658
9/21/2016,40646
9/22/2016,38411
9/23/2016,38963
9/24/2016,36243
9/25/2016,30015
9/26/2016,35059
9/27/2016,36094
9/28/2016,38893
9/29/2016,34840
9/30/2016,34140
10/1/2016,17832
10/2/2016,27335
10/3/2016,35892
10/4/2016,37162
10/5/2016,36314
10/6/2016,35332
10/7/2016,33361
10/8/2016,27236
10/9/2016,25390
10/10/2016,33045
10/11/2016,35254
10/12/2016,32552
10/13/2016,30762
10/14/2016,32637
10/15/2016,23773
10/16/2016,18685
10/17/2016,29007
10/18/2016,33062
10/19/2016,33953
10/20/2016,32624
10/21/2016,30838
10/22/2016,26322
10/23/2016,23812
10/24/2016,30329
10/25/2016,33313
10/26/2016,34322
10/27/2016,34203
10/28/2016,33769
10/29/2016,28114
10/30/2016,24166
10/31/2016,34747
11/1/2016,32334
11/2/2016,32316
11/3/2016,31111
11/4/2016,22143
11/5/2016,19649
11/6/2016,13576
11/7/2016,17329
11/8/2016,26382
11/9/2016,18878
11/10/2016,26075
11/11/2016,28088
11/12/2016,9709
11/13/2016,19258
11/14/2016,24824
11/15/2016,28810
11/16/2016,27646
11/17/2016,27692
11/18/2016,26884
11/19/2016,18288
11/20/2016,10704
11/21/2016,19374
11/22/2016,27723
11/23/2016,29047
11/24/2016,28091
11/25/2016,27692
11/26/2016,19805
11/27/2016,15628
11/28/2016,26980
11/29/2016,27847
11/30/2016,27119
12/1/2016,26431
12/2/2016,26223
12/3/2016,18120
12/4/2016,15448
12/5/2016,26456
12/6/2016,28347
12/7/2016,29735
12/8/2016,28632
12/9/2016,30076
12/10/2016,15054
12/11/2016,17713
12/12/2016,25476
12/13/2016,26747
12/14/2016,29130
12/15/2016,28449
12/16/2016,27926
12/17/2016,17473
12/18/2016,15152
12/19/2016,23736
12/20/2016,25106
12/21/2016,23329
12/22/2016,21659
12/23/2016,14534
12/24/2016,7978
12/25/2016,37401
12/26/2016,11637
12/27/2016,11003
12/28/2016,12530
12/29/2016,14206
12/30/2016,11684
12/31/2016,11584
1/1/2017,6534
1/2/2017,11954
1/3/2017,19622
1/4/2017,22122
1/5/2017,23580
1/6/2017,18973
1/7/2017,13879
1/8/2017,13506
1/9/2017,38042
1/10/2017,28106
1/11/2017,28270
1/12/2017,17109
1/13/2017,20963
1/14/2017,13766
1/15/2017,6752
1/16/2017,19230
1/17/2017,27281
1/18/2017,27194
1/19/2017,26826
1/20/2017,25125
1/21/2017,17552
1/22/2017,15628
1/23/2017,23280
1/24/2017,26611
1/25/2017,25175
1/26/2017,23831
1/27/2017,23387
1/28/2017,17523
1/29/2017,9078
1/30/2017,24969
1/31/2017,22623
2/1/2017,23181
2/2/2017,25601
2/3/2017,23231
2/4/2017,17324
2/5/2017,14570
2/6/2017,24312
2/7/2017,27156
2/8/2017,25770
2/9/2017,22900
2/10/2017,18673
2/11/2017,9394
2/12/2017,10272
2/13/2017,24159
2/14/2017,26649
2/15/2017,24330
2/16/2017,26649
2/17/2017,25883
2/18/2017,21292
2/19/2017,19169
2/20/2017,28665
2/21/2017,28929
2/22/2017,27290
2/23/2017,22520
2/24/2017,26832
2/25/2017,14132
2/26/2017,14911
2/27/2017,20001
2/28/2017,24755
3/1/2017,24746
3/2/2017,26938
3/3/2017,22914
3/4/2017,21546
3/5/2017,10593
3/6/2017,26917
3/7/2017,29174
3/8/2017,24440
3/9/2017,31113
3/10/2017,28126
3/11/2017,30560
3/12/2017,15850
3/13/2017,32177
3/14/2017,30857
3/15/2017,34548
3/16/2017,31876
3/17/2017,26481
3/18/2017,7771
3/19/2017,19335
3/20/2017,24145
3/21/2017,30182
3/22/2017,23725
3/23/2017,27639
3/24/2017,27578
3/25/2017,28374
3/26/2017,24090
3/27/2017,30887
3/28/2017,32314
3/29/2017,29907
3/30/2017,34219
3/31/2017,30730
4/1/2017,28237
4/2/2017,31064
4/3/2017,34287
4/4/2017,30887
4/5/2017,33985
4/6/2017,36003
4/7/2017,35434
4/8/2017,38878
4/9/2017,42854
4/10/2017,31158
4/11/2017,35436
4/12/2017,32570
4/13/2017,30343
4/14/2017,22357
4/15/2017,24627
4/16/2017,23090
4/17/2017,20130
4/18/2017,29490
4/19/2017,32500
4/20/2017,33546
4/21/2017,31510
4/22/2017,28323
4/23/2017,28736
4/24/2017,28500
4/25/2017,32383
4/26/2017,28360
4/27/2017,26727
4/28/2017,30390
4/29/2017,28450
4/30/2017,27461
5/1/2017,18493
5/2/2017,32945
5/3/2017,27191
5/4/2017,31200
5/5/2017,31355
5/6/2017,29020
5/7/2017,28491
5/8/2017,30426
5/9/2017,33211
5/10/2017,36305
5/11/2017,33911
5/12/2017,32618
5/13/2017,29539
5/14/2017,30145
5/15/2017,25882
5/16/2017,35964
5/17/2017,18926
5/18/2017,23268
5/19/2017,28730
5/20/2017,26825
5/21/2017,33728
5/22/2017,40021
5/23/2017,39259
5/24/2017,41644
5/25/2017,43528
5/26/2017,43701
5/27/2017,35354
5/28/2017,27909
5/29/2017,26476
5/30/2017,37517
5/31/2017,39019
6/1/2017,42514
6/2/2017,34459
6/3/2017,38635
6/4/2017,30840
6/5/2017,30846
6/6/2017,17387
6/7/2017,34819
6/8/2017,32751
6/9/2017,33705
6/10/2017,36788
6/11/2017,32997
6/12/2017,36114
6/13/2017,41337
6/14/2017,44762
6/15/2017,42249
6/16/2017,40288
6/17/2017,41719
6/18/2017,38577
6/19/2017,41624
6/20/2017,43185
6/21/2017,43885
6/22/2017,39708
6/23/2017,40025
6/24/2017,30271
6/25/2017,31012
6/26/2017,42096
6/27/2017,24206
6/28/2017,33008
6/29/2017,38137
6/30/2017,40350
7/1/2017,36183
7/2/2017,42875
7/3/2017,39970
7/4/2017,43784
7/5/2017,46035
7/6/2017,44386
7/7/2017,43547
7/8/2017,40196
7/9/2017,38912
7/10/2017,41086
7/11/2017,25955
7/12/2017,38377
7/13/2017,42082
7/14/2017,38932
7/15/2017,30690
7/16/2017,31595
7/17/2017,41811
7/18/2017,41804
7/19/2017,39340
7/20/2017,37164
7/21/2017,37967
7/22/2017,16392
7/23/2017,26432
7/24/2017,32515
7/25/2017,41029
7/26/2017,33566
7/27/2017,32588
7/28/2017,32857
7/29/2017,23334
7/30/2017,31893
7/31/2017,38541
8/1/2017,39837
8/2/2017,27123
8/3/2017,34430
8/4/2017,34893
8/5/2017,27715
8/6/2017,31536
8/7/2017,32303
8/8/2017,33854
8/9/2017,11525
8/10/2017,35707
8/11/2017,34462
8/12/2017,31034
8/13/2017,34928
8/14/2017,35979
8/15/2017,38181
8/16/2017,37037
8/17/2017,31947
8/18/2017,28252
8/19/2017,29156
8/20/2017,25270
8/21/2017,27725
8/22/2017,33327
8/23/2017,34439
8/24/2017,34548
8/25/2017,35108
8/26/2017,31442
8/27/2017,33657
8/28/2017,34862
8/29/2017,35427
8/30/2017,22542
8/31/2017,35953
9/1/2017,36194
9/2/2017,35246
9/3/2017,21934
9/4/2017,28710
9/5/2017,32336
9/6/2017,36559
9/7/2017,35614
9/8/2017,23199
9/9/2017,28349
9/10/2017,21298
9/11/2017,26886
9/12/2017,32569
9/13/2017,32583
9/14/2017,33252
9/15/2017,31628
9/16/2017,26166
9/17/2017,25300
9/18/2017,30718
9/19/2017,34917
9/20/2017,35149
9/21/2017,31174
9/22/2017,36125
9/23/2017,30654
9/24/2017,32726
9/25/2017,30066
9/26/2017,37394
9/27/2017,34694
9/28/2017,35526
9/29/2017,28782
9/30/2017,29003
10/1/2017,22814
10/2/2017,33891
10/3/2017,37187
10/4/2017,36798
10/5/2017,34779
10/6/2017,35344
10/7/2017,25505
10/8/2017,28830
10/9/2017,34182
10/10/2017,35961
10/11/2017,32760
10/12/2017,36372
10/13/2017,34229
10/14/2017,32123
10/15/2017,32696
10/16/2017,34787
10/17/2017,35199
10/18/2017,27348
10/19/2017,31069
10/20/2017,31306
10/21/2017,22475
10/22/2017,21013
10/23/2017,30604
10/24/2017,33732
10/25/2017,36064
10/26/2017,28423
10/27/2017,34654
10/28/2017,26633
10/29/2017,22228
10/30/2017,31364
10/31/2017,33312
11/1/2017,34747
11/2/2017,34290
11/3/2017,34716
11/4/2017,17801
11/5/2017,21588
11/6/2017,30663
11/7/2017,27314
11/8/2017,29455
11/9/2017,31374
11/10/2017,28480
11/11/2017,16679
11/12/2017,16460
11/13/2017,29301
11/14/2017,29355
11/15/2017,30564
11/16/2017,31112
11/17/2017,29876
11/18/2017,12976
11/19/2017,18874
11/20/2017,25998
11/21/2017,31316
11/22/2017,31315
11/23/2017,30147
11/24/2017,28930
11/25/2017,17691
11/26/2017,15229
11/27/2017,24324
11/28/2017,28202
11/29/2017,27319
11/30/2017,25986
12/1/2017,24321
12/2/2017,16887
12/3/2017,12773
12/4/2017,27613
12/5/2017,29611
12/6/2017,29058
12/7/2017,24810
12/8/2017,24431
12/9/2017,15509
12/10/2017,5143
12/11/2017,13055
12/12/2017,22780
12/13/2017,20074
12/14/2017,24064
12/15/2017,21107
12/16/2017,12229
12/17/2017,7519
12/18/2017,23414
12/19/2017,22935
12/20/2017,21801
12/21/2017,20945
12/22/2017,17124
12/23/2017,9725
12/24/2017,7498
12/25/2017,27305
12/26/2017,7149
12/27/2017,5426
12/28/2017,11236
12/29/2017,8346
12/30/2017,10908
12/31/2017,9292
1/1/2018,10235
1/2/2018,14394
1/3/2018,20265
1/4/2018,17543
1/5/2018,21759
1/6/2018,13920
1/7/2018,12259
1/8/2018,23374
1/9/2018,24683
1/10/2018,26787
1/11/2018,25222
1/12/2018,24696
1/13/2018,17512
1/14/2018,15070
1/15/2018,19161
1/16/2018,26921
1/17/2018,26934
1/18/2018,26471
1/19/2018,25799
1/20/2018,9398
1/21/2018,5859
1/22/2018,26337
1/23/2018,26003
1/24/2018,20206
1/25/2018,28189
1/26/2018,26430
1/27/2018,14472
1/28/2018,17512
1/29/2018,26371
1/30/2018,28002
1/31/2018,24117
2/1/2018,25525
2/2/2018,25331
2/3/2018,8975
2/4/2018,13833
2/5/2018,23898
2/6/2018,25349
2/7/2018,25388
2/8/2018,25791
2/9/2018,21037
2/10/2018,9956
2/11/2018,14621
2/12/2018,24719
2/13/2018,20931
2/14/2018,18866
2/15/2018,25264
2/16/2018,25411
2/17/2018,23169
2/18/2018,18624
2/19/2018,19879
2/20/2018,25055
2/21/2018,26434
2/22/2018,26179
2/23/2018,23067
2/24/2018,16522
2/25/2018,14037
2/26/2018,19204
2/27/2018,18741
2/28/2018,10619
3/1/2018,8744
3/2/2018,8234
3/3/2018,7924
3/4/2018,10853
3/5/2018,24818
3/6/2018,26301
3/7/2018,22044
3/8/2018,25967
3/9/2018,18912
3/10/2018,18717
3/11/2018,16259
3/12/2018,19996
3/13/2018,28069
3/14/2018,28769
3/15/2018,25318
3/16/2018,28308
3/17/2018,8106
3/18/2018,6624
3/19/2018,20488
3/20/2018,24582
