Day,Number of Bicycle Hires,,,,,,,
5/17/2020,"51,411",,,,,,,
5/18/2020,"29,581",,,,,,,
5/19/2020,"35,510",,,,,,,
5/20/2020,"42,805",,,,,,,
5/21/2020,"36,165",,,,,,,
5/22/2020,"36,798",,,,,,,
5/23/2020,"40,748",,,,,,,
5/24/2020,"55,780",,,,,,,
5/25/2020,"67,000",,,,,,,
5/26/2020,"38,353",,,,,,,
5/27/2020,"38,295",,,,,,,
5/28/2020,"40,653",,,,,,,
5/29/2020,"45,645",,,,,,,
5/30/2020,"70,074",,,,,,,
5/31/2020,"62,905",,,,,,,
6/1/2020,"38,362",,,,,,,
6/2/2020,"45,512",,,,,,,
6/3/2020,"28,908",,,,,,,
6/4/2020,"27,745",,,,,,,
6/5/2020,"28,578",,,,,,,
6/6/2020,"27,721",,,,,,,
6/7/2020,"39,208",,,,,,,
6/8/2020,"28,841",,,,,,,
6/9/2020,"36,692",,,,,,,
6/10/2020,"16,955",,,,,,,
6/11/2020,"24,699",,,,,,,
6/12/2020,"26,980",,,,,,,
6/13/2020,"65,022",,,,,,,
6/14/2020,"57,494",,,,,,,
6/15/2020,"37,978",,,,,,,
6/16/2020,"37,745",,,,,,,
6/17/2020,"26,510",,,,,,,
6/18/2020,"25,654",,,,,,,
6/19/2020,"36,573",,,,,,,
6/20/2020,"64,022",,,,,,,
6/21/2020,"45,468",,,,,,,
6/22/2020,"42,984",,,,,,,
6/23/2020,"48,259",,,,,,,
6/24/2020,"52,094",,,,,,,
6/25/2020,"52,345",,,,,,,
6/26/2020,"50,940",,,,,,,
6/27/2020,"41,337",,,,,,,
6/28/2020,"42,193",,,,,,,
6/29/2020,"32,523",,,,,,,
6/30/2020,"28,679",,,,,,,
7/1/2020,"31,467",,,,,,,
7/2/2020,"28,048",,,,,,,
7/3/2020,"37,411",,,,,,,
7/4/2020,"42,158",,,,,,,
7/5/2020,"47,215",,,,,,,
7/6/2020,"33,682",,,,,,,
7/7/2020,"32,202",,,,,,,
7/8/2020,"22,304",,,,,,,
7/9/2020,"26,121",,,,,,,
7/10/2020,"38,129",,,,,,,
7/11/2020,"51,348",,,,,,,
7/12/2020,"49,637",,,,,,,
7/13/2020,"35,307",,,,,,,
7/14/2020,"35,213",,,,,,,
7/15/2020,"34,117",,,,,,,
7/16/2020,"37,394",,,,,,,
7/17/2020,"46,718",,,,,,,
7/18/2020,"56,637",,,,,,,
7/19/2020,"33,962",,,,,,,
7/20/2020,"39,234",,,,,,,
7/21/2020,"40,527",,,,,,,
7/22/2020,"41,558",,,,,,,
7/23/2020,"40,093",,,,,,,
7/24/2020,"40,907",,,,,,,
7/25/2020,"24,806",,,,,,,
7/26/2020,"34,183",,,,,,,
7/27/2020,"23,873",,,,,,,
7/28/2020,"37,855",,,,,,,
7/29/2020,"41,123",,,,,,,
7/30/2020,"43,059",,,,,,,
7/31/2020,"43,130",,,,,,,
8/1/2020,"49,579",,,,,,,
8/2/2020,"44,086",,,,,,,
8/3/2020,"36,811",,,,,,,
8/4/2020,"41,420",,,,,,,
8/5/2020,"42,665",,,,,,,
8/6/2020,"41,163",,,,,,,
8/7/2020,"43,332",,,,,,,
8/8/2020,"47,654",,,,,,,
8/9/2020,"44,687",,,,,,,
8/10/2020,"40,027",,,,,,,
8/11/2020,"43,123",,,,,,,
8/12/2020,"41,949",,,,,,,
8/13/2020,"34,291",,,,,,,
8/14/2020,"30,311",,,,,,,
8/15/2020,"30,825",,,,,,,
8/16/2020,"32,716",,,,,,,
8/17/2020,"32,054",,,,,,,
8/18/2020,"39,680",,,,,,,
8/19/2020,"20,681",,,,,,,
8/20/2020,"42,879",,,,,,,
8/21/2020,"35,546",,,,,,,
8/22/2020,"44,587",,,,,,,
8/23/2020,"37,221",,,,,,,
8/24/2020,"31,635",,,,,,,
8/25/2020,"27,199",,,,,,,
8/26/2020,"41,178",,,,,,,
8/27/2020,"23,755",,,,,,,
8/28/2020,"27,681",,,,,,,
8/29/2020,"29,066",,,,,,,
8/30/2020,"35,216",,,,,,,
8/31/2020,"39,847",,,,,,,
9/1/2020,"36,663",,,,,,,
9/2/2020,"31,798",,,,,,,
9/3/2020,"30,828",,,,,,,
9/4/2020,"35,991",,,,,,,
9/5/2020,"42,628",,,,,,,
9/6/2020,"39,964",,,,,,,
9/7/2020,"32,942",,,,,,,
9/8/2020,"38,501",,,,,,,
9/9/2020,"39,419",,,,,,,
9/10/2020,"40,260",,,,,,,
9/11/2020,"38,338",,,,,,,
9/12/2020,"47,604",,,,,,,
9/13/2020,"47,135",,,,,,,
9/14/2020,"31,627",,,,,,,
9/15/2020,"43,586",,,,,,,
9/16/2020,"43,344",,,,,,,
9/17/2020,"42,025",,,,,,,
9/18/2020,"42,095",,,,,,,
9/19/2020,"51,750",,,,,,,
9/20/2020,"47,816",,,,,,,
9/21/2020,"38,762",,,,,,,
9/22/2020,"46,176",,,,,,,
9/23/2020,"30,727",,,,,,,
9/24/2020,"32,990",,,,,,,
9/25/2020,"30,829",,,,,,,
9/26/2020,"34,338",,,,,,,
9/27/2020,"26,681",,,,,,,
9/28/2020,"33,130",,,,,,,
9/29/2020,"32,104",,,,,,,
9/30/2020,"27,195",,,,,,,
10/1/2020,"34,437",,,,,,,
10/2/2020,"12,205",,,,,,,
10/3/2020,"21,901",,,,,,,
10/4/2020,"8,778",,,,,,,
10/5/2020,"25,745",,,,,,,
10/6/2020,"30,722",,,,,,,
10/7/2020,"34,221",,,,,,,
10/8/2020,"29,144",,,,,,,
10/9/2020,"29,387",,,,,,,
10/10/2020,"34,832",,,,,,,
10/11/2020,"34,115",,,,,,,
10/12/2020,"21,307",,,,,,,
10/13/2020,"20,946",,,,,,,
10/14/2020,"29,588",,,,,,,
10/15/2020,"30,106",,,,,,,
10/16/2020,"33,853",,,,,,,
10/17/2020,"34,161",,,,,,,
10/18/2020,"31,537",,,,,,,
10/19/2020,"29,218",,,,,,,
10/20/2020,"32,560",,,,,,,
10/21/2020,"17,838",,,,,,,
10/22/2020,"31,980",,,,,,,
10/23/2020,"32,322",,,,,,,
10/24/2020,"26,243",,,,,,,
10/25/2020,"27,452",,,,,,,
10/26/2020,"29,566",,,,,,,
10/27/2020,"21,481",,,,,,,
10/28/2020,"27,734",,,,,,,
10/29/2020,"21,953",,,,,,,
10/30/2020,"29,401",,,,,,,
10/31/2020,"23,242",,,,,,,
11/1/2020,"25,619",,,,,,,
11/2/2020,"27,661",,,,,,,
11/3/2020,"28,621",,,,,,,
11/4/2020,"36,967",,,,,,,
11/5/2020,"19,757",,,,,,,
11/6/2020,"21,845",,,,,,,
11/7/2020,"40,467",,,,,,,
11/8/2020,"31,315",,,,,,,
11/9/2020,"19,954",,,,,,,
11/10/2020,"24,858",,,,,,,
11/11/2020,"23,660",,,,,,,
11/12/2020,"25,864",,,,,,,
11/13/2020,"25,761",,,,,,,
11/14/2020,"15,486",,,,,,,
11/15/2020,"22,683",,,,,,,
11/16/2020,"19,150",,,,,,,
11/17/2020,"23,522",,,,,,,
11/18/2020,"23,009",,,,,,,
11/19/2020,"20,453",,,,,,,
11/20/2020,"18,222",,,,,,,
11/21/2020,"35,352",,,,,,,
11/22/2020,"35,314",,,,,,,
11/23/2020,"21,672",,,,,,,
11/24/2020,"22,766",,,,,,,
11/25/2020,"22,099",,,,,,,
11/26/2020,"23,690",,,,,,,
11/27/2020,"23,658",,,,,,,
11/28/2020,"34,390",,,,,,,
11/29/2020,"27,085",,,,,,,
11/30/2020,"19,167",,,,,,,
12/1/2020,"22,282",,,,,,,
12/2/2020,"24,615",,,,,,,
12/3/2020,"14,619",,,,,,,
12/4/2020,"22,624",,,,,,,
12/5/2020,"31,470",,,,,,,
12/6/2020,"20,583",,,,,,,
12/7/2020,"19,778",,,,,,,
12/8/2020,"21,625",,,,,,,
12/9/2020,"23,013",,,,,,,
12/10/2020,"23,516",,,,,,,
12/11/2020,"24,943",,,,,,,
12/12/2020,"29,258",,,,,,,
12/13/2020,"13,220",,,,,,,
12/14/2020,"15,959",,,,,,,
12/15/2020,"26,241",,,,,,,
12/16/2020,"17,574",,,,,,,
12/17/2020,"22,945",,,,,,,
12/18/2020,"18,542",,,,,,,
12/19/2020,"16,643",,,,,,,
12/20/2020,"17,397",,,,,,,
12/21/2020,"11,190",,,,,,,
12/22/2020,"14,805",,,,,,,
12/23/2020,"13,215",,,,,,,
12/24/2020,"15,630",,,,,,,
12/25/2020,"17,741",,,,,,,
12/26/2020,"12,557",,,,,,,
12/27/2020,"17,726",,,,,,,
12/28/2020,"12,631",,,,,,,
12/29/2020,"14,666",,,,,,,
12/30/2020,"17,079",,,,,,,
12/31/2020,"15,004",,,,,,,
1/1/2021,"10,981",,,,,,,
1/2/2021,"17,560",,,,,,,
1/3/2021,"13,616",,,,,,,
1/4/2021,"10,374",,,,,,,
1/5/2021,"9,566",,,,,,,
1/6/2021,"12,382",,,,,,,
1/7/2021,"12,593",,,,,,,
1/8/2021,"11,387",,,,,,,
1/9/2021,"19,696",,,,,,,
1/10/2021,"13,796",,,,,,,
1/11/2021,"11,687",,,,,,,
1/12/2021,"11,761",,,,,,,
1/13/2021,"8,589",,,,,,,
1/14/2021,"6,731",,,,,,,
1/15/2021,"13,989",,,,,,,
1/16/2021,"12,296",,,,,,,
1/17/2021,"24,892",,,,,,,
1/18/2021,"12,987",,,,,,,
1/19/2021,"12,765",,,,,,,
1/20/2021,"9,216",,,,,,,
1/21/2021,"15,093",,,,,,,
1/22/2021,"16,854",,,,,,,
1/23/2021,"24,456",,,,,,,
1/24/2021,"6,632",,,,,,,
1/25/2021,"13,250",,,,,,,
1/26/2021,"10,898",,,,,,,
1/27/2021,"12,479",,,,,,,
1/28/2021,"13,783",,,,,,,
1/29/2021,"14,807",,,,,,,
1/30/2021,"7,915",,,,,,,
1/31/2021,"16,730",,,,,,,
2/1/2021,"12,563",,,,,,,
2/2/2021,"14,459",,,,,,,
2/3/2021,"13,017",,,,,,,
2/4/2021,"11,153",,,,,,,
2/5/2021,"19,520",,,,,,,
2/6/2021,"19,063",,,,,,,
2/7/2021,"6,252",,,,,,,
2/8/2021,"6,725",,,,,,,
2/9/2021,"7,263",,,,,,,
2/10/2021,"11,723",,,,,,,
2/11/2021,"11,144",,,,,,,
2/12/2021,"11,859",,,,,,,
2/13/2021,"15,958",,,,,,,
2/14/2021,"14,034",,,,,,,
2/15/2021,"13,491",,,,,,,
2/16/2021,"12,393",,,,,,,
2/17/2021,"12,945",,,,,,,
2/18/2021,"16,279",,,,,,,
2/19/2021,"17,584",,,,,,,
2/20/2021,"39,918",,,,,,,
2/21/2021,"33,629",,,,,,,
2/22/2021,"13,922",,,,,,,
2/23/2021,"21,689",,,,,,,
2/24/2021,"22,259",,,,,,,
2/25/2021,"18,457",,,,,,,
2/26/2021,"29,662",,,,,,,
2/27/2021,"52,427",,,,,,,
2/28/2021,"31,418",,,,,,,
